No,Wavelet transform,easting,northing,within_10km,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test,Mean,Std
3066,Annual,410345,302925,TRUE,-3401.217,-5.6388,0.78601336,0.790174078,6.241423,5.0688477,3.246893072,0.292573211
3067,Annual,410345,302905,TRUE,-13.153062,-1.8286955,0.8575512,0.895722031,0.8602602,3.821666,3.489598136,0.215876378
3077,Annual,358934,524421,FALSE,-4995.405,-29.751165,0.3465255,0.342881805,29.452452,12.647845,0.34058022,0.139228468
3078,Annual,358929,524418,FALSE,-37384.914,-105.83892,0.79876065,0.712928376,105.14149,24.85661,0.32761668,0.177838579
3087,Multiannual,359390,369230,FALSE,-125.52372,-4.4878683,0.16293496,0.129647588,0.70473665,6.4156466,5.642516015,0.179180207
3091,Multiannual,359527,369445,FALSE,-236.7214,-2.4166963,0.7967291,0.797979798,2.071519,4.2379737,3.003786532,0.214329607
3128,Decadal,445753,461751,TRUE,-1821.6877,-5.070539,0.1353834,0.156378225,2.5644748,6.801441,5.15087557,0.191149393
3136,Multiannual,358148,367598,FALSE,-1168.4375,-2.1868255,0.12073235,0.160376168,0.19247806,3.9547913,7.160933886,0.1702424
3249,Annual,429575,283405,TRUE,-370.01703,-7.480443,0.56601053,0.517312363,9.419625,1.9162467,4.443936099,1.949096565
3251,Annual,429565,283405,TRUE,-140.18481,-2.8000727,0.2481516,0.280091358,4.7030563,1.4033077,5.636926662,1.771058337
3360,Multiannual,391096,377494,FALSE,-1232.1061,-7.9392643,0.6741458,0.683647186,0.27471778,9.903887,8.446034603,0.180845476
3361,Multiannual,591287,164798,TRUE,-5324.617,-56.319893,0.40779397,0.397209898,58.266663,3.4025185,0.287773509,0.226030892
3372,Annual,500045,333785,FALSE,-2.3869066,-0.11645126,0.01666858,0.334179401,1.1186812,1.5152065,17.86056881,5.63368423
3378,Multiannual,381770,390045,FALSE,-36.40408,-1.2726946,0.86164093,0.8715166,1.4447893,3.2244747,1.441745576,0.11414323
3416,Annual,339245,396655,TRUE,-53.18775,-2.673162,0.82827264,0.795389434,1.9175608,4.5526032,0.814720313,0.118194197
3438,Multiannual,428401,147621,TRUE,-134.31721,-0.5715816,-0.012394574,-0.008897647,0.08979347,0.21485674,25.6722101,2.016604027
3445,Annual,486406,112749,TRUE,-3.5093899,-0.2315799,-0.03022159,0.219954413,0.7550453,1.6288332,4.291298135,1.207495111
3447,Annual,445400,182970,TRUE,-1.5306528,0.4150383,0.62314034,0.619419359,0.79853696,0.6005385,20.40028514,2.967269347
3469,Annual,431189,181029,TRUE,-155.52861,-3.0930324,-0.15704305,-0.097437537,4.446051,2.8811977,9.957931229,2.836844174
