No,DECIPHeR-GW_No,elev,label,easting,northing,NSE_DGW,KGE_DGW,Pearson_r_DGW,Spearman_r_DGW,Mean_ratio_DGW,STD_ratio_DGW,NSE_LSTM_10,KGE_LSTM_10,Pearson_r_LSTM_10,Spearman_r_LSTM_10,Mean_ratio_LSTM_10,STD_ratio_LSTM_10,Pearson_diff,Pearson_calss,Sample Count,P,PET,TAS,DTR,HUSS,WIND,PSURF,RLDS,RSDS,elev,slope,hand,t_clay,t_sand,t_silt,t_bd,s_clay,s_sand,s_silt,s_bd,ts,sy,sdf,pop_dens,irri_int,gw_abs,Aquifer,Top Soil,Sub Soil
2615,247,79.3913269,Birkholme South,497175,323195,-55.07534652,-0.15800855,0.30800488,0.418731847,1.928336782,1.017814985,-12.409895,0.27388614,0.7772939,0.894616318,0.5486238,0.47664303,-0.46928902,LSTM outperform,56,1.777108428,1.480952553,283.3560656,8.170701117,0.006544113,4.455369758,100381.1171,320.9079661,116.5434551,79.3913269,2.942554474,4,49,19,32,1.24000001,51,18,31,1.230000019,130,0.0005,5.430111095,50.0605096,101,0,Oolites,clay,clay
2717,390,77.77937317,Brocklands Farm,463755,123655,-6.100263633,-0.906193681,0.835290072,0.8711167,-0.781144971,1.658762157,-629.8276,-17.113953,0.85533977,0.881579335,19.027521,2.761727,-0.020049698,Both Perform Well,59,2.578696604,1.387325574,283.9271968,8.427272862,0.006855938,3.441735189,100412.3908,321.7351355,117.292384,77.77937317,4.080029011,3.599998474,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,37.95290113,81.38068514,101,443.4398499,Chalk,loam,clay loam
2751,2177,98.19533539,Pit King Farm,445380,171128,-3204.452372,-3.56648723,0.716285521,0.862246417,-0.182258267,5.401656178,-379.19302,-3.109929,0.7272992,0.836640891,1.3980191,5.0815344,-0.011013679,Others,56,1.879408543,1.40896439,283.7457167,8.427272862,0.006755395,3.520983492,100246.9746,322.1359928,117.9416915,98.19533539,4.545917988,6.299995422,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,28.78171785,285.5830405,51,0,Chalk,sandy clay loam,clay loam
2763,2117,112.7718964,Park Lane Welford,440484,172875,-290.8885814,-0.125005347,0.699552847,0.735144999,0.742042356,2.053008259,-33.5887,-4.079445,0.78595096,0.7902531,1.0378513,6.0748196,-0.086398113,Both Perform Well,59,1.879791896,1.425616888,283.6147333,8.427272862,0.006719447,3.533355876,99988.98075,321.6205789,119.5793911,112.7718964,4.81866169,5,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,33.07193279,54.3569109,51,0,Chalk,sandy clay loam,clay loam
2787,2623,92.54624939,Starveall,399455,139314,-220.6047427,0.323710745,0.731329206,0.79056736,0.38497624,0.916759778,-402.19913,-0.10561967,0.57900256,0.724453239,0.17123301,1.598585,0.152326646,Others,43,2.11746988,1.496204684,283.7429382,7.812595891,0.006816911,3.64144456,100029.7377,322.3542943,127.4324194,92.54624939,3.424113512,0,21,44,35,1.409999967,25,40,35,1.370000005,550,0.015,6.403286406,37.89189719,51,0,Chalk,loam,loam
2790,1265,74.32122803,Heathcote,365385,328345,-361.7795849,-1.109367863,-0.351965409,-0.268221307,-0.274316039,0.001130164,-540.5393,-0.622741,0.617609,0.714361189,2.557627,1.2467163,-0.969574409,Others,60,1.956790799,1.417428242,283.4552284,7.561281574,0.006634601,3.717228335,100430.2996,323.2629144,117.1544099,74.32122803,0.971921742,7,4,87,9,1.730000019,4,88,8,1.74000001,30,0.14,3.337929634,81.00242788,1001,0,Permian Sandstone,sand,sand
2796,2857,83.38846588,Upper Campsfield Farm,446580,216540,0.176520157,0.230789769,0.670333956,0.664349264,0.886502843,0.314344784,-6.8162217,-0.18795383,0.83927846,0.876515202,0.21388227,0.12397386,-0.168944504,Both Perform Well,57,1.704216864,1.451796358,283.7571825,7.847316624,0.00672168,3.549279002,100463.1026,322.8293513,119.5199614,83.38846588,0.138981357,1.099998474,49,19,32,1.24000001,51,18,31,1.230000019,184,0.02,0.54275578,277.245991,51,0,Oolites,clay,clay
2812,1412,73.35398102,Houghton Common,587386,305276,-57.49505568,0.461295604,0.640783234,0.642771154,1.176609654,0.639479859,-255.52335,0.5989872,0.8596827,0.860300969,1.3715043,1.0557404,-0.218899466,Both Perform Well,38,1.897207012,1.540362808,283.5787211,7.787020949,0.00663748,4.995416681,100569.357,320.1354652,119.4123978,73.35398102,1.437948108,27.70000076,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,57.77626982,83.45251716,5001,0,Chalk,loam,clay loam
2885,2485,38.8288269,Shropham,597318,293441,-256.1717363,-0.29767984,0.801308523,0.815417563,2.281242447,0.946032827,-442.79272,-0.792573,0.7488364,0.776189228,2.6822388,1.5659618,0.052472123,Both Perform Well,45,1.735761233,1.5788609,283.8462322,7.787020949,0.006711895,5.042651616,100987.0144,321.0862986,120.9958976,38.8288269,0.536561847,8,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,68.71737641,82.34702031,5001,0,Chalk,loam,clay loam
2915,2703,54.84103394,Swayfield,499825,323385,-32.22750664,-0.17708134,0.787687547,0.768123301,-0.077967723,1.422409153,0.42545193,0.46945894,0.9210613,0.92421516,0.9089867,0.48331958,-0.133373753,Both Perform Well,58,1.765936469,1.517972286,283.485662,8.170701117,0.006580834,4.462713054,100643.7242,321.4847886,119.4467903,54.84103394,3.82901907,0,49,19,32,1.24000001,51,18,31,1.230000019,130,0.0005,3.079554009,50.64181696,101,0,Oolites,clay,clay
2919,2875,45.20183563,Valley Farm Helhoughton,586637,327012,-45.8409325,-0.109351485,0.75053648,0.733184252,2.017102761,1.365965358,-68.686966,-0.2957375,0.6799134,0.61320284,2.244561,1.1659849,0.07062308,Both Perform Well,1617,1.894030665,1.496858918,283.6270974,7.787020949,0.006673021,4.324510273,100889.9016,320.6207103,120.6357714,45.20183563,1.66444242,6.099998474,11,80,9,1.570000052,19,72,9,1.480000019,550,0.015,61.0652638,39.61988717,1001,0,Chalk,sandy loam,sandy loam
2930,3191,119.2809677,Yatton Keynell Manor,386440,176290,-56.59717703,-0.042750468,0.380063331,0.54500364,0.249535418,0.626088277,-24.838581,0.037294447,0.6544357,0.567090765,0.5005435,0.25305268,-0.274372369,Others,53,2.219112813,1.465968925,283.6500503,7.812595891,0.006774754,4.472113271,100012.0137,322.7205262,119.0125094,119.2809677,1.55279839,12.80000305,48,23,29,1.25,45,26,29,1.25999999,184,0.02,1.521776483,196.5176042,51,0,Oolites,clay,clay
2972,2454,77.99575806,Sheffield Forest,542202,126857,-6723.391637,-19.93934894,-0.090211664,-0.129297755,0.060354821,21.88982622,-2229.1836,0.03881079,0.54924357,0.553045363,0.4385011,1.6367325,-0.639455234,Others,59,2.285377876,1.39931215,284.0541372,8.545290384,0.00693858,3.430603916,100578.4766,321.4521925,120.5469973,77.99575806,0.430284441,26.10000229,9,77,14,1.600000024,17,67,16,1.480000019,50,0.00014,0.510123124,75.74136272,1,0,Corallian Limestone,sandy loam,sandy loam
3066,972,106.453392,Footherley Shallow,410345,302925,-96.46878384,-1.501600238,0.958580366,0.955290481,0.137214465,3.347741316,-164.7307,-1.0392292,0.34241864,0.391136492,2.1395774,2.5580227,0.616161726,DGW outperform,1826,2.005805033,1.41028525,283.3080227,7.60476465,0.006569781,3.624385344,100010.1453,321.9928911,116.2833333,106.453392,0.852436185,5.900001526,5,90,5,1.710000038,8,87,5,1.629999995,33,0.01,1.065374249,651.1656216,501,145.0207977,Triassic Sandstone,sand,loamy sand
3128,1120,21.16728592,Great Ouseburn S,445753,461751,-664.8392616,-3.082982683,0.755548712,0.69726916,0.055555463,4.964721386,-641.89056,-0.24181485,0.78523755,0.766216082,0.060072467,1.7826442,-0.029688838,Both Perform Well,1824,1.870974811,1.459312997,283.1737386,7.298685801,0.006472555,4.377416926,100941.5475,320.7772953,117.4626753,21.16728592,0.760853052,6.700000763,19,37,44,1.409999967,31,31,38,1.330000043,33,0.01,5.512199825,62.66414837,251,0,Triassic Sandstone,loam,clay loam
3136,1391,79.51822662,Hook House,358148,367598,-938.0638611,-7.039376725,0.54760835,0.48429143,1.700010382,8.996055615,-3801.8572,-1.3398015,0.5390324,0.594797194,2.464972,2.7652466,0.00857595,Others,1268,2.227929901,1.448275431,283.2750441,6.877820409,0.006562371,4.433555685,100366.5661,322.5716012,116.4301311,79.51822662,0.943544209,3.900001526,4,87,9,1.730000019,4,88,8,1.74000001,33,0.01,5.318129451,191.1858957,1,0,Triassic Sandstone,sand,sand
3360,2209,124.418251,Prestbury Shallow,391096,377494,-1611.203671,-3.686011407,0.77849603,0.774453315,0.146597459,5.602319307,-3486.329,-4.529551,0.11415127,-0.04827532,2.2572868,6.3113847,0.66434476,DGW outperform,1826,2.546768897,1.361759027,282.9116931,6.901916814,0.006429284,3.595291337,99736.22482,320.5378343,113.3996414,124.418251,1.5235641,15.70000458,5,89,6,1.700000048,5,89,6,1.700000048,33,0.01,1.247652304,713.0517624,101,0,Triassic Sandstone,sand,sand
3372,2337,69.67005157,Ropsley,500045,333785,-1.350072201,0.171954403,0.668604232,0.750623028,0.588320637,0.362539054,-5.2761173,-0.21744561,0.6135618,0.830033701,0.26723,0.10787475,0.055042432,Others,58,1.750219061,1.503023712,283.3383856,8.170701117,0.00654039,4.479856909,100431.8706,320.8341475,118.958695,69.67005157,3.061220407,2.5,49,19,32,1.24000001,51,18,31,1.230000019,184,0.02,4.654866092,46.75532264,101,0,Oolites,clay,clay
