No,Wavelet transform,easting,northing,lat,long,NSE_train,KGE_train,Pearson_r_train,Spearman_r_train,Mean_ratio_train,STD_ratio_train,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test
2759,Annual,465052,423106,53.700334,-1.016138,0.6491299,0.75718933,0.8071166,0.801489892,1.0018197,0.8525249,0.00311017,0.7857878,0.7955437,0.782930049,0.93616426,1.0030737
2764,Annual,593630,313170,52.681602,0.863022,0.7555029,0.7996832,0.8706505,0.867218741,1.0276138,0.8495603,0.18404436,0.6556964,0.7237308,0.679275796,0.8283515,1.112951
2776,Annual,492907,101615,50.806648,-0.682813,0.72585475,0.7467685,0.8543331,0.873054952,0.99721074,0.79287994,0.76406777,0.8415375,0.8826498,0.896673706,1.0175904,0.8949794
2777,Annual,410035,195355,51.656888,-1.856326,0.76356125,0.82317024,0.87516516,0.915220635,1.011643,0.8753051,0.87659293,0.88460606,0.93739647,0.945192822,1.0066245,0.90329367
2778,Annual,442055,139055,51.149213,-1.400123,0.8893684,0.8898281,0.9450215,0.942052977,0.9973811,0.9045627,0.917267,0.90151185,0.96134496,0.967100912,0.99692035,0.9094676
2781,Multiannual,383675,265345,52.28599,-2.240734,0.7998187,0.8249913,0.89515686,0.895157303,0.99777097,0.8598906,0.71645725,0.7954791,0.87923723,0.844817529,0.9760337,0.83668983
2782,Multiannual,438221,458289,54.019184,-1.418143,0.8177194,0.8732753,0.9047823,0.902061938,0.9985019,0.9163931,0.4543261,0.636303,0.6870161,0.63801557,1.0018284,0.8147637
2784,Annual,398824,143816,51.193559,-2.018203,0.91977,0.89692426,0.96074283,0.951158221,0.9916617,0.9050583,0.8441912,0.73736715,0.9399237,0.935582237,0.97336996,0.7457214
2799,Annual,452455,135055,51.112392,-1.252031,0.9032093,0.9055322,0.95116687,0.954962886,0.9992091,0.9191373,0.8564321,0.8655485,0.95078164,0.943038351,0.9942132,0.87501556
2800,Annual,478065,146645,51.213677,-0.883732,0.93416876,0.9148002,0.9680134,0.971941283,0.99613136,0.9211276,0.88313985,0.86623883,0.9467826,0.951279785,1.0109993,0.87777513
2809,Annual,403410,164286,51.377612,-1.952387,0.8723644,0.8602023,0.9360888,0.938322218,1.0084883,0.8759573,0.8560227,0.78682125,0.9365232,0.940001281,1.0197903,0.7974561
2811,Decadal,440545,462323,54.05526,-1.382139,0.7996717,0.79856163,0.8982702,0.895372949,0.9953581,0.8261999,-1.0013907,0.6734354,0.7602319,0.63960196,1.0735655,0.79085195
2818,Multiannual,491690,138410,51.137626,-0.690814,0.8429763,0.835824,0.921917,0.870177016,1.0025651,0.85560465,0.40392262,0.31120187,0.73867893,0.71331921,1.0010881,0.36269897
2820,Multiannual,441224,453303,53.974143,-1.372987,0.7755606,0.7246809,0.8942158,0.908225817,1.131565,0.78251195,-0.0729872,0.24650133,0.42534164,0.539965445,0.65250283,0.6582813
2826,Annual,390310,185982,51.572616,-2.141205,0.8782882,0.8575458,0.94097555,0.922666345,1.0475492,0.8793836,0.72072834,0.7368709,0.8688366,0.862439073,1.156535,0.83407855
2828,Annual,425455,145155,51.205039,-1.637012,0.94116056,0.93070984,0.9711211,0.971135995,0.99593806,0.9371462,0.89443874,0.9113542,0.95765877,0.94719308,0.9825745,0.92409474
2832,Annual,507285,437161,53.819651,-0.371792,0.7662065,0.6971921,0.8928919,0.904105339,1.0077565,0.71687496,0.8402388,0.7723409,0.9300715,0.929535211,1.066554,0.79382324
2833,Annual,506761,464214,54.062805,-0.370302,0.8621528,0.77841574,0.9414013,0.945040733,1.0063537,0.78639954,0.70529974,0.6705724,0.8602286,0.898015697,1.0899123,0.7155672
2840,Annual,598710,321850,52.757691,0.943312,0.8977153,0.91104,0.9490088,0.957955496,0.99870616,0.9271174,0.87995636,0.9131135,0.9418828,0.908334666,0.9980567,0.9354428
2843,Multiannual,363225,319295,52.769978,-2.546504,0.84868526,0.8746434,0.9226397,0.923641255,0.9976579,0.9013915,-0.8417975,0.7851495,0.79588485,0.86697431,1.0477988,0.95296115
2853,Annual,365650,147870,51.228973,-2.493316,0.6397276,0.6581972,0.80438596,0.86182749,0.99854416,0.7197111,0.590764,0.7006659,0.82151043,0.8582894,1.030327,0.7616256
2854,Annual,391064,649153,55.735669,-2.143864,0.81884724,0.82283336,0.9172221,0.927270626,1.0216012,0.84485984,0.6579106,0.73496735,0.83976203,0.789773524,1.0380994,0.7923618
2855,Annual,551342,245280,52.08518,0.207384,0.83578795,0.8152312,0.92507464,0.914596631,0.9969892,0.8311319,0.80223006,0.77037627,0.9300434,0.887470322,0.99542886,0.7813406
2862,Annual,593419,281203,52.394655,0.841302,0.9027226,0.8875416,0.9516003,0.941753019,1.0000238,0.8984915,0.6977798,0.8281613,0.9117512,0.895884989,0.9740644,0.8548536
2868,Annual,504379,437457,53.822901,-0.415815,0.8422413,0.78453374,0.92693543,0.920920889,0.99288535,0.79742587,0.5683042,0.6638748,0.7954218,0.82827258,1.1107799,0.7573988
2876,Annual,447965,360215,53.136928,-1.284474,0.6642808,0.68335366,0.8190825,0.843379828,0.99754465,0.74014026,0.5249202,0.5746192,0.7701701,0.888226445,0.97108656,0.64322233
2878,Annual,546235,244708,52.081412,0.13266,0.9199813,0.8673784,0.9643377,0.957936825,0.9972237,0.8722939,0.5414018,0.71681213,0.74728715,0.727591425,0.9979865,0.87222135
2895,Multiannual,352085,322955,52.802001,-2.712144,0.86453295,0.8687167,0.93080616,0.927556603,1.0003433,0.88843375,-0.80531704,0.5962641,0.6366645,0.641404852,0.9860245,1.1754901
2897,Annual,567282,270541,52.307495,0.452266,0.78971976,0.80977094,0.89248174,0.898522098,1.0040187,0.8431238,0.6121037,0.5658429,0.809995,0.863449661,0.9958169,0.6096515
2902,Annual,494776,448078,53.920167,-0.558367,0.8402326,0.8450962,0.9200682,0.932959219,0.9962655,0.8673648,0.68109393,0.6610342,0.8505555,0.87276978,1.0082747,0.6958692
2909,Annual,354345,318655,52.763546,-2.678023,0.72354007,0.8382523,0.85429597,0.863119133,0.9983931,0.92978853,0.62240005,0.70756924,0.7900479,0.796870537,1.0024484,0.7964597
2916,Annual,459655,138855,51.145855,-1.148559,0.9317006,0.92850846,0.9671931,0.971035631,0.99736154,0.9365359,0.850078,0.9106197,0.96321094,0.961888491,1.0081413,1.0810516
2918,Annual,421245,199115,51.690385,-1.69405,0.68869114,0.7688819,0.8299902,0.840763231,0.9994626,0.8434402,0.65029,0.7855347,0.8586436,0.850440275,1.0449003,0.8450911
2924,Annual,421769,610333,55.386467,-1.657933,0.92705727,0.89103186,0.96729827,0.953202183,0.99786717,0.8960768,0.74241006,0.6512469,0.8920635,0.770672972,0.99790823,0.6683769
2927,Annual,470971,147802,51.225004,-0.985049,0.962464,0.959445,0.98330665,0.984260097,0.9963645,0.96321976,0.9225463,0.89660376,0.9637966,0.959438784,1.0022826,0.90317655
