No,Wavelet transform,easting,northing,within_10km,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test,Mean,Std
1241,Multiannual,511985,425405,TRUE,-736.228,-3.5856924,0.08154102,0.065854264,4.216543,4.136713,2.213705811,0.265403301
1247,Annual,430498,148712,TRUE,-2.4047155,-0.09885967,0.062779665,0.104754101,1.534714,0.7921739,7.083758108,2.764997289
1248,Annual,559069,102106,TRUE,-228.33408,-6.6657996,0.20352466,0.214783482,8.065146,3.8660054,0.963584916,0.464334161
1263,Decadal,503785,304255,FALSE,-782.681,-2.686886,0.2266509,0.115062763,3.0194728,3.986108,6.480283459,0.472043556
1275,Decadal,570128,168950,TRUE,-37417.027,-1.2253246,0.050188586,0.048115995,0.29973662,2.8866894,80.84536057,0.292704062
1278,Annual,523470,127695,FALSE,-63.744675,-2.788627,0.5215046,0.521843553,4.753276,0.8058832,1.550535551,0.727813612
1281,Annual,502675,315495,FALSE,-7.3236847,-0.001436114,0.5528252,0.675485586,0.66310227,0.16969359,11.85889542,1.460557669
1283,Multiannual,450673,84385,TRUE,-197.51791,-2.2225363,-0.22819957,-0.242186977,1.6156782,3.915004,11.76527856,0.539303308
1287,Annual,535485,383995,FALSE,-220.76772,0.20538157,0.6065246,0.572215308,0.30969027,0.99175644,11.79967348,0.547936704
1288,Annual,459155,116855,TRUE,-14570.873,-0.5865828,0.8635143,0.898265998,0.19330922,2.3593695,50.43977937,0.337100834
1297,Multiannual,584646,165511,TRUE,-19.921913,0.41981626,0.62625724,0.638902886,0.5562796,0.9935413,11.50806925,1.13673649
1305,Multiannual,631670,143580,TRUE,-221075.17,-17.958921,-0.11721325,-0.149455587,0.40656015,19.91685,86.6781277,0.109499334
1316,Multiannual,467605,138425,TRUE,-13795.427,-7.9421854,-0.39857042,-0.285539702,0.568325,9.821614,87.72500019,0.323638959
1319,Multiannual,501005,342705,TRUE,-1271.6853,-2.7991393,0.30321607,0.286833835,4.5754457,2.078959,7.125443053,0.715279108
1328,Annual,423855,132955,TRUE,-277.9117,0.04866171,0.73648,0.68889675,0.22651212,0.51284695,79.68959097,3.694173305
1336,Multiannual,624293,151559,TRUE,-7.14447,-0.039795518,0.07724562,0.04234884,1.106749,1.4672308,34.58270599,1.616050148
1341,Annual,397025,210385,TRUE,-2231.646,-3.992261,0.79442835,0.77390523,4.8209853,4.2063274,6.724490162,0.545250338
1343,Annual,503235,374265,FALSE,-21.32623,0.019155085,0.7219191,0.790565823,0.48403662,0.21354648,9.642291206,1.070738482
1345,Annual,430885,133395,TRUE,-1389.8602,-31.146492,0.6325294,0.729192773,33.056408,3.3789327,0.196356353,0.169275077
1346,Annual,458945,127395,TRUE,-1393.9023,-22.304857,0.6363504,0.629512183,24.293245,1.640619,0.734855127,0.458574192
1355,Annual,444882,169724,TRUE,-8190.2656,-24.557594,0.3857326,0.389295905,21.968243,15.5996065,1.20585421,0.283418923
1361,Annual,441855,143655,TRUE,-99.05176,0.366076,0.7685352,0.817330421,0.62552553,1.4561312,11.21467505,0.421715544
1364,Annual,489362,181621,TRUE,-92.609886,-0.39485776,0.7277489,0.791652761,2.3602974,1.1452656,2.323953009,0.32786956
1377,Annual,397812,209071,TRUE,-157.06876,-7.178173,0.22879629,0.192490414,0.8135114,9.139619,16.79161081,0.355208188
