No,Wavelet transform,easting,northing,lat,long,NSE_train,KGE_train,Pearson_r_train,Spearman_r_train,Mean_ratio_train,STD_ratio_train,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test
2843,Multiannual,363225,319295,52.769978,-2.546504,0.77943814,0.8834287,0.90051013,0.903372242,0.9961189,1.0606298,-0.34408188,0.81050515,0.82983494,0.779087263,1.0401465,0.92692554
2853,Annual,365650,147870,51.228973,-2.493316,0.631273,0.67948425,0.7956685,0.856275443,1.0000002,0.7530613,0.5128342,0.74230105,0.7952788,0.85090397,1.0365353,0.8478063
2854,Annual,391064,649153,55.735669,-2.143864,0.81286716,0.89591134,0.90444005,0.91124415,0.99242,0.9594408,0.6974143,0.8116667,0.8394599,0.791746569,0.989599,0.90208375
2855,Annual,551342,245280,52.08518,0.207384,0.7127209,0.8123883,0.9076809,0.904223321,0.9907097,0.83693916,0.5261269,0.81484056,0.93319345,0.896105101,0.986903,0.8278108
2862,Annual,593419,281203,52.394655,0.841302,0.75742954,0.79523104,0.91673523,0.89475895,1.0204408,0.81404614,0.6396921,0.75890625,0.80267996,0.796035613,0.99756944,0.86149156
2868,Annual,504379,437457,53.822901,-0.415815,0.79206645,0.82327306,0.90174353,0.905181135,1.0723495,0.87215847,0.21828866,0.6303905,0.78432286,0.78840179,1.2749641,0.87962806
2876,Annual,447965,360215,53.136928,-1.284474,0.6275805,0.7078196,0.7930684,0.813265368,1.0046524,0.79378045,0.55843633,0.59554756,0.760667,0.878698878,0.9857203,0.6742749
2878,Annual,546235,244708,52.081412,0.13266,0.89595896,0.8806394,0.9500923,0.940318977,1.0041274,0.8916531,0.5596629,0.73698545,0.7612018,0.742910656,1.003027,0.8898057
2895,Multiannual,352085,322955,52.802001,-2.712144,0.74802166,0.88308436,0.88601613,0.869389627,0.9946263,1.0254593,-1.858408,0.056386888,0.5930267,0.594820901,1.0115343,1.8512706
2897,Annual,567282,270541,52.307495,0.452266,0.71570253,0.6947621,0.8626155,0.880330102,1.0061251,0.72749823,0.5180415,0.467615,0.7664238,0.846352153,0.9934494,0.5216361
2902,Annual,494776,448078,53.920167,-0.558367,0.772726,0.82608163,0.9019421,0.906441387,0.98760206,0.856897,0.67444336,0.6611115,0.8342873,0.844192199,1.0041913,0.70442086
2909,Annual,354345,318655,52.763546,-2.678023,0.6373354,0.7864039,0.805416,0.809420662,1.0002859,0.9119106,0.6601276,0.7762367,0.8539001,0.85925892,1.015388,0.83121914
2916,Annual,459655,138855,51.145855,-1.148559,0.88281476,0.9491771,0.95024145,0.954529788,0.9932651,0.9921461,0.8375038,0.8145155,0.9479886,0.948383426,1.0029299,1.1780205
2918,Annual,421245,199115,51.690385,-1.69405,0.5732713,0.7862726,0.79489946,0.783624528,1.0294386,0.94759554,0.5479077,0.8037591,0.8176881,0.829137116,1.049172,0.9465712
2924,Annual,421769,610333,55.386467,-1.657933,0.85001004,0.95005906,0.9521855,0.931508896,0.9915624,0.9883093,0.7471858,0.75191444,0.9284627,0.883676574,0.98928696,0.7626944
2927,Annual,470971,147802,51.225004,-0.985049,0.92663795,0.9383876,0.96879613,0.964501371,0.99386436,0.9472296,0.90535885,0.90535015,0.9595082,0.946495637,0.99492127,0.9146003
2928,Multiannual,346525,564265,54.970103,-2.836846,0.5053408,0.75601727,0.7564702,0.712259208,0.9992194,1.0148435,-1.0534725,0.17357945,0.69068754,0.670673721,1.0249472,1.7659587
2935,Annual,547228,104307,50.819595,0.08875,0.51988435,0.71281254,0.7571878,0.72388625,0.99584967,0.84669834,0.5866585,0.6092219,0.7902513,0.849146078,0.9975941,0.6702929
2939,Decadal,441120,474034,54.160461,-1.371767,0.74250054,0.7259079,0.8715813,0.860712716,1.0069194,0.75795364,-0.107085705,0.7956654,0.8017714,0.838729902,0.958247,1.0267388
2944,Annual,589652,278116,52.368252,0.784264,0.29650766,0.27280772,0.5718927,0.575984144,1.0083771,0.41224027,0.31645465,0.29166925,0.7042639,0.710302183,1.0290633,0.35701722
2949,Annual,628804,144041,51.149863,1.270187,0.642224,0.8272336,0.83321273,0.833220504,1.0101594,1.0439013,0.3453408,0.788294,0.8545699,0.885760743,1.0806435,0.8689828
2955,Annual,537638,103235,50.812318,-0.047708,0.52797544,0.59497845,0.7273525,0.655917053,0.9996469,0.70049155,0.4866051,0.66916484,0.7409755,0.734757952,1.0031866,0.7942147
2961,Decadal,493825,104015,50.828077,-0.669176,0.8274441,0.8959642,0.9103862,0.897672894,0.99962085,0.9471556,-9.64026,0.5566714,0.6594058,0.700199116,1.2716783,1.0820208
2966,Multiannual,486427,194964,51.646835,-0.752269,0.66912913,0.75149727,0.8343353,0.88844371,1.0784491,0.8322077,0.14415395,0.6263344,0.6973378,0.686719196,1.1561731,0.8462758
2985,Annual,447250,162670,51.361136,-1.322746,0.7965093,0.8317505,0.89915925,0.887281007,0.9915113,0.86558676,-0.45494807,0.35410523,0.6094814,0.591781177,1.0559974,0.4885908
2986,Multiannual,507720,217690,51.847418,-0.437603,0.91975176,0.9406407,0.95912147,0.957257678,1.003339,0.9570896,0.3867612,0.6781665,0.71919364,0.84551495,1.0663271,0.8574334
2988,Annual,394264,648285,55.727919,-2.092885,0.82271695,0.8716124,0.90738726,0.916084279,0.9963119,0.91116107,0.5828841,0.7959425,0.80372727,0.821652851,0.9718837,0.9517738
2990,Multiannual,553400,154009,51.264596,0.197336,0.8052356,0.7964716,0.9007766,0.885720668,0.9999376,0.82229716,0.2835077,0.3892843,0.57795775,0.555823862,0.9954533,0.55860144
