No,Wavelet transform,easting,northing,within_10km,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test,Mean,Std,Sample Count,P,PET,TAS,DTR,HUSS,WIND,PSURF,RLDS,RSDS,elev,slope,hand,t_clay,t_sand,t_silt,t_bd,s_clay,s_sand,s_silt,s_bd,ts,sy,sdf,pop_dens,irri_int,gw_abs,Aquifer,Top Soil,Sub Soil
1465,Annual,548195,155345,TRUE,-48.73962,-3.9708595,0.45812607,0.507990261,1.2779164,5.9334574,2.171011775,0.138528809,1823,2.113964943,1.43626209,283.9312743,8.545290384,0.006833629,3.502545777,100402.0838,321.1067441,120.8176875,84.11367035,1.761345148,0.699996948,10,75,15,1.580000043,15,68,17,1.50999999,270,0.0006,9.430721288,279.5529186,1,17611.11133,Lower Greensand,sandy loam,sandy loam
1466,Annual,553475,373645,FALSE,-25.265226,0.04173875,0.56758916,0.572492755,0.14845823,1.0785018,1.568019195,0.265320628,58,1.783844475,1.514802847,283.6236078,6.437349428,0.006685255,4.932020018,101248.1503,321.4722765,120.0466768,1.940605402,0.485084295,0.399999976,49,19,32,1.24000001,47,21,32,1.24000001,550,0.015,12.50435416,105.0168448,751,0,Chalk,clay,clay
1470,Decadal,508045,413785,FALSE,-125.09338,-0.09487867,0.8135108,0.830088801,0.1448362,0.34221917,17.84662733,1.362154725,52,1.918784224,1.475845766,283.2445352,6.699781022,0.006548695,4.668534313,100632.1306,320.4009045,118.5616257,31.70797348,1.176731825,0,19,37,44,1.409999967,0,0,0,0,550,0.015,10.28462951,69.24746904,1001,0,Chalk,loam,
1491,Annual,629110,140204,TRUE,-23.992342,0.38768172,0.7491808,0.757897904,0.5045193,1.2579193,40.84597592,4.10600388,1744,2.452245347,1.56740195,283.9457164,6.701862052,0.007031803,5.357138362,100099.1274,320.9521434,130.5983468,63.71123505,4.14731741,5.099998474,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,35.93698372,766.5015969,1001,0,Chalk,sandy clay loam,clay loam
1501,Annual,505012,466985,TRUE,-15.843657,0.5429777,0.7974355,0.70152983,0.5938353,0.94645405,28.52215623,2.855646991,59,2.092935369,1.474497442,282.7461666,6.475027417,0.006436251,4.742489583,99949.22923,317.9373928,123.4618734,56.59757996,3.192923784,2.200000763,19,37,44,1.409999967,0,0,0,0,550,0.015,6.863826436,35.30463929,51,0,Chalk,loam,
1536,Annual,507345,305125,FALSE,-6.789075,0.28371722,0.56154865,0.620216862,0.8270714,1.5393698,8.866930476,0.618391016,57,1.688663744,1.461440902,283.7933474,7.961938764,0.006667288,3.70450101,101126.3681,322.685949,117.6341048,40.23517609,6.61888504,19.20000076,22,42,36,1.399999976,0,0,0,0,130,0.0005,0.364350137,187.2662861,101,89935.02344,Oolites,loam,
1559,Annual,449255,128455,TRUE,0.26676017,0.19537026,0.75280213,0.758604281,0.94844437,0.23602115,2.428662992,0.690434159,61,2.346495081,1.436137816,284.2172814,8.427272862,0.006937404,3.475700059,101019.3153,323.4645952,120.5751965,37.68784332,0.709595144,0,19,37,44,1.409999967,0,0,0,0,550,0.015,40.54547477,569.7507667,1,0,Chalk,loam,
1563,Annual,549501,100648,TRUE,-3803.6665,-50.005898,-0.054828033,0.079455401,0.78783774,51.994728,45.39945294,0.291144366,58,2.037897037,1.470111083,284.2310347,6.103997887,0.007091747,4.151607167,100831.0769,322.0222289,125.5889905,46.54876328,9.980051041,16.40000153,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,11.19494565,561.2206574,1,0,Chalk,loam,loam
1565,Annual,412060,117120,TRUE,0.09859121,0.6469758,0.7374963,0.692192939,1.2348028,1.0242157,0.79571781,0.310061605,53,2.393154431,1.484198443,284.1840513,7.617962865,0.006957113,3.576666442,100827.3794,323.7557515,125.1570627,39.99062347,1.54231143,0,51,17,32,1.220000029,52,19,29,1.230000019,550,0.015,12.73805174,77.76431989,51,0,Chalk,clay,clay
1570,Annual,502455,109865,TRUE,-197.22427,-2.2086425,0.7566528,0.705703195,1.191248,4.193695,20.62634691,0.289255677,58,2.364129243,1.440056602,284.3755242,6.336254195,0.007031188,3.382600119,101221.097,323.0182881,122.8353267,21.70669174,3.241278172,20.29999924,47,14,39,1.230000019,45,15,40,1.24000001,550,0.015,14.0439964,103.8025122,1001,0,Chalk,clay,clay
1608,Annual,443955,152555,TRUE,0.6365756,0.47557253,0.94564116,0.931162569,0.98481447,0.47861868,40.12054382,3.063424967,62,2.128203726,1.452619278,283.6591705,8.427272862,0.006749147,3.510927794,99985.0093,321.4238321,122.970451,123.2192535,8.589391708,5.700004578,11,35,54,1.49000001,20,37,43,1.399999976,550,0.015,38.57992007,85.67096466,1,199.7364655,Chalk,silt loam,loam
1609,Annual,498295,341675,TRUE,-10797.974,-1.9176011,0.5888822,0.630572456,0.045252796,3.7261543,26.96994419,0.247906674,55,1.762650605,1.489719359,283.2759668,8.170701117,0.006523837,4.489371421,100375.6933,320.5892513,118.1666407,88.3250351,1.883364201,2.400001526,22,42,36,1.399999976,0,0,0,0,130,0.0005,1.89818681,49.89268305,751,0,Oolites,loam,
1633,Annual,431755,135155,TRUE,-45.147076,0.6628034,0.890912,0.880433671,0.6839868,0.9559893,33.89406238,1.580336256,59,2.128587074,1.45159856,284.0100438,8.146276078,0.006876052,3.529196651,100580.9221,322.9627438,122.2558267,76.06423187,0.712786376,11.89999771,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,23.7391649,47.34218074,1,0,Chalk,loam,clay loam
1638,Annual,635152,155598,FALSE,-0.34852266,0.3554693,0.6624087,0.656475085,1.0085815,1.5489861,0.973659331,0.232742866,53,1.781544358,1.530137804,284.5093505,6.701862052,0.007145965,4.728671886,101247.6273,323.4175325,124.381471,0.914414048,2.304973364,0,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,48.37588578,548.7289604,1001,0,Lower Greensand,loam,clay loam
1640,Annual,515985,406085,FALSE,-40.450554,-0.004511952,0.30165327,0.59328186,1.6534996,0.6929264,38.13888631,3.921794271,58,1.873493974,1.46742791,283.2079368,6.699781022,0.00654484,4.710947379,100500.465,320.1222404,117.7764724,62.30216217,2.16786623,20.59999847,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,4.640447989,59.36310269,1001,0,Chalk,loam,loam
1648,Annual,493325,420065,FALSE,-3.9485478,-0.13296378,0.6201018,0.664573674,0.3895106,0.124450564,6.974872194,2.106156453,58,1.8415115,1.479482541,283.333777,7.297097527,0.006559449,4.58948178,101094.6437,321.0041808,118.9917885,24.36832047,1.797225356,12.89999962,22,42,36,1.399999976,0,0,0,0,130,0.0005,4.659290389,136.1320185,1001,0,Oolites,loam,
1669,Annual,496135,403075,FALSE,-30.013155,0.39120722,0.6908429,0.704401475,0.5768594,0.6901599,3.503369411,0.268465771,58,1.866867468,1.488942075,283.3767021,7.297097527,0.006568365,4.581315447,101027.8334,321.1894642,119.0575905,26.03285217,1.582030296,3.199998856,22,42,36,1.399999976,0,0,0,0,130,0.0005,5.274913122,89.38209795,1001,0,Oolites,loam,
1690,Annual,458525,132895,TRUE,-13.075408,-0.19083631,0.73435783,0.762549601,1.1937282,2.1445618,3.197584766,0.181676672,55,2.2898138,1.418848535,283.9938669,8.427272862,0.006864325,3.459979984,100578.7684,322.335957,119.4353576,67.40322113,3.742405415,3.100002289,19,37,44,1.409999967,0,0,0,0,550,0.015,43.26567455,87.47982643,1,90.63555908,Chalk,loam,
1719,Annual,535185,379535,FALSE,-536.90967,-0.29913533,0.63767505,0.6708349,2.2417889,0.8798589,21.8647021,1.171385919,60,1.996276009,1.508189273,283.2407982,6.437349428,0.00655937,4.796708693,100516.1053,319.9478316,121.4633747,72.59986877,6.448134422,11.60000229,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,3.552481927,22.51102936,751,220.9683838,Chalk,loam,loam
1722,Annual,497225,398725,FALSE,-67.422676,0.23211437,0.43477383,0.45451961,0.49320018,0.8845835,6.432804739,0.397078754,55,1.837458927,1.443150352,283.4741053,7.722836944,0.00659465,3.823568805,101251.3415,321.6378672,118.79076,15.42171383,0.716881156,2.600000381,22,39,39,1.389999986,28,37,35,1.350000024,130,0.0005,2.238398647,67.52358219,1001,1720.647095,Oolites,loam,clay loam
1726,Annual,504315,345355,TRUE,0.27082622,0.20027697,0.6691035,0.603720634,1.0442579,0.27329138,4.057757427,1.263388785,60,1.722289158,1.464180146,283.6783568,7.961938764,0.006639721,3.767594291,101243.4363,322.4029292,118.7531511,19.18209076,1.769720435,4.600000381,54,22,24,1.230000019,44,34,22,1.279999971,130,0.0005,6.934636665,288.2825871,751,0,Oolites,clay,clay
1744,Annual,502495,373225,FALSE,-367.5623,-0.07221544,0.87064755,0.863689229,0.1617838,0.34402215,17.70252392,0.773467333,54,1.907119389,1.507462751,283.5314608,7.04030681,0.00660576,4.564178812,101071.6133,321.8159144,119.0147422,25.37289429,0.305419207,5,22,39,39,1.389999986,28,37,35,1.350000024,184,0.02,0.613468056,570.8215199,751,0,Oolites,loam,clay loam
1755,Annual,506425,354925,TRUE,-1.9095101,-0.10374546,0.61035013,0.66922206,0.50100857,0.095879264,7.176696073,2.521309915,41,1.687897042,1.515263658,283.6241007,7.04030681,0.006627826,4.549889838,101087.6937,322.1420353,118.694041,25.66035461,1.87886703,6.099998474,49,19,32,1.24000001,51,18,31,1.230000019,0.1,0.06,10.56315477,79.50830491,751,0,Oolites,clay,clay
1767,Annual,495005,414325,FALSE,-4.3595424,0.23831332,0.33964768,0.353724756,0.8023952,0.675881,7.894322165,0.746924988,58,1.836746985,1.437189088,283.3638468,7.297097527,0.006566746,3.831050033,101101.5429,321.1436408,119.0162232,14.91863251,0.766047359,12.10000038,22,39,39,1.389999986,28,37,35,1.350000024,130,0.0005,1.254223187,151.2916726,1001,0,Oolites,loam,clay loam
1768,Annual,555675,367865,FALSE,-2.3584344,-0.083998084,0.06567475,0.038753233,0.5669552,0.6615341,1.471374326,0.449683217,59,1.772946332,1.517217526,283.6556598,6.437349428,0.006690392,4.930369506,101254.3058,321.5615797,119.7435174,1.991882801,0.558163404,0.899999976,47,14,39,1.230000019,45,15,40,1.24000001,550,0.015,15.95448497,381.899042,751,0,Chalk,clay,clay
1777,Annual,417605,195685,TRUE,-0.67601705,0.002159178,0.34179807,0.377107503,1.4623845,0.4095277,0.955861592,0.497811172,61,1.778915664,1.445963154,283.8775091,7.806790904,0.006796464,3.609394862,100529.6286,323.6014534,119.4120647,73.83651733,0.182182804,1.599998474,51,17,32,1.220000029,52,19,29,1.230000019,0.1,0.06,4.880389444,162.0983382,251,0,Oolites,clay,clay
1783,Annual,418226,121962,TRUE,-146.35846,-2.9624321,0.485975,0.556297327,1.6077996,4.8816624,9.128858595,0.491823859,53,2.305969336,1.419485343,284.1593856,8.146276078,0.006940618,3.55794527,100831.9337,323.6233757,119.3818695,45.25753784,0.837823927,5.799999237,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,12.07723298,106.0939813,51,0,Chalk,loam,loam
1790,Annual,540406,245699,TRUE,-207.24487,-6.586831,0.7593769,0.758887015,3.2366168,8.245725,0.777212661,0.141100866,49,1.417853228,1.483443777,284.0780396,8.084611253,0.006757014,3.699817919,101236.1241,322.8468567,118.5719448,20.38333511,0.943191409,1.900001526,10,82,8,1.590000033,17,75,8,1.5,550,0.015,48.04681483,149.7262845,5001,0,Chalk,loamy sand,sandy loam
1804,Annual,505485,373565,FALSE,0.24837399,0.16528815,0.7552209,0.786045017,1.0620567,0.20440222,2.518920473,1.14667649,58,1.814950712,1.503888711,283.5997043,7.04030681,0.006627002,4.580608188,101212.4784,322.0905841,118.3241465,9.599437714,0.441551566,0,19,37,44,1.409999967,31,31,38,1.330000043,0.1,0.06,3.503309378,134.2769779,751,0,Oolites,loam,clay loam
1814,Annual,346005,445005,TRUE,-2.4468403,0.1280725,0.35200927,0.376447877,0.81508577,1.553334,1.580257512,0.275186112,1825,2.998411834,1.424510072,283.3767733,6.350821513,0.006544621,4.307058759,101224.4056,323.2189405,113.9721402,7.397148609,6.042413235,3.500000477,19,37,44,1.409999967,31,31,38,1.330000043,33,0.01,4.602332277,165.7888936,1,0,Triassic Sandstone,loam,clay loam
1822,Multiannual,498905,408765,FALSE,-0.28743327,-0.14177477,0.3683856,0.368660788,0.277968,0.3808222,0.513772293,0.57037939,58,1.779463311,1.435821625,283.461664,7.297097527,0.006596051,3.845803362,101249.7399,321.5572559,118.3021451,1.877617121,0.497081369,0.899999976,32,35,33,0.230985165,25,52,23,0.237838149,0.1,0.06,0.456683735,97.73974749,1001,0,Oolites,clay loam,sandy clay loam
1827,Annual,570359,129219,FALSE,-716.8493,-1.0718195,0.7628225,0.714021703,3.0570326,0.9307077,8.915647663,0.684719144,60,2.24780942,1.486735161,284.0393495,8.545290384,0.006970383,3.505539001,100528.1896,321.3026917,128.6491258,90.58781433,2.211167574,57.49999619,51,17,32,1.220000029,52,19,29,1.230000019,50,0.00014,1.949917663,109.1490641,501,0,Corallian Limestone,clay,clay
1831,Multiannual,518824,245735,FALSE,-242.54436,-0.92495966,0.6625149,0.648592579,2.5489728,2.0919204,1.551469263,0.154821945,44,1.45569551,1.474017493,284.0406205,8.083954113,0.006749029,3.619992147,101161.9352,323.1260385,118.3167271,26.36874199,0.512015283,3.400001526,22,41,37,1.399999976,29,37,34,1.350000024,270,0.0006,31.5252088,466.1033375,251,99.05208588,Lower Greensand,loam,clay loam
