No,P,PET,tas,dtr,huss,sfcWind,psurf,rlds,rsds
2214,1.6931087272410144,1.502152647239451,283.2218247366467,6.662480863506426,0.00658370683046545,5.3737343826882915,101213.05830066362,319.43787317648156,118.97319101770383
2215,2.4937120053492414,1.4336702394304537,283.3704863942642,5.977641656759015,0.006700399922655342,4.201153217201262,100704.69331685927,319.3928837366003,121.21998427743746
2216,1.8490834819229587,1.4300262929131264,283.21267735115316,8.253918986570142,0.006576969274379322,4.455125323272077,100531.43332075735,319.29218989744305,115.48597675263353
2218,2.3398208736102544,1.4225275991160546,283.4932713114298,7.384454043839622,0.006706627367789687,3.6059064257989695,100867.05882964408,321.35757319457974,122.08574777094064
2219,2.2846489380788504,1.442346622420061,282.73244432549075,7.367098251297044,0.00644253258029607,4.5953368281080325,99609.40304673072,319.6128364267483,118.43116172808483
2220,2.3498677430010164,1.4398414213342634,282.9958821481275,8.220511404051232,0.006512547113504108,4.361070305808622,100124.43043853543,319.35780955357563,118.34993540134113
2222,1.7082927276406663,1.4518161258484976,283.2017917773447,7.966193337045802,0.006516426561074759,4.273780543861942,101212.05619750336,319.75342905192815,117.35087134064226
2223,2.319991647283414,1.4068106786595567,283.3631854471206,6.12747691606107,0.006660073591011183,3.449513483866351,100679.54487470417,319.9060697039306,121.91663162174578
2224,1.6843240978739493,1.4061487910518697,283.65602915819755,6.38185531147153,0.006824507685980787,4.140153108534967,101193.50706900551,321.21840227527963,118.11985293092485
2226,2.1458350739886884,1.4398694831596368,282.7577134238248,7.3117731769409255,0.006511265087099169,5.365118942781567,99455.6328045385,316.87388319040326,116.79299495907003
2227,2.0154670738001754,1.4193212042704795,282.2064361297508,6.532711497684348,0.0062149358948999965,4.911023726444382,100161.86335950626,317.3859011680356,117.66707139377696
2234,2.196835117048158,1.4470869981577859,282.8291938674648,7.6737342888579505,0.006466268293220103,4.581994091606571,99837.84810807927,320.02552628056986,118.31893015439232
2235,1.670908160820147,1.4023853014053393,283.60974708571166,7.3117731769409255,0.00674220034501833,3.8873451871474307,101187.42807902918,320.91457540813957,116.83727151085895
2236,1.6333240510737634,1.4300125701652329,283.1501522130957,7.887920561650193,0.006449244196315373,3.951293666540442,101249.82827834236,321.2385096394264,114.62827462766253
2239,1.8981994502018367,1.4190153158993175,283.55914342568104,6.38185531147153,0.006792802828024504,4.067943571531393,100998.35157705694,320.7341969047287,120.04468783344934
2241,2.5422107738198405,1.4542512454547722,282.79200223769084,5.778736838939162,0.006563969273311987,5.126416943751451,99538.31001002369,316.7851602872524,122.68019956939996
2243,2.351816788276317,1.3336832931879443,283.49578670889605,5.778736838939162,0.006768339109995824,3.5270369784719016,100942.9304272124,319.96345172165763,116.4368379241728
2246,2.4273144919966056,1.4347886399936651,283.13389668569306,7.947018428650982,0.006595640365970578,4.370458988512228,100205.8515752007,319.8070840410228,120.02979573439602
2248,1.8355793754841139,1.3723785811606493,282.5877871627454,6.690779161255743,0.006308341701123022,4.131275695655482,100867.89859854286,319.2182651561557,113.70896616668988
2251,2.1494918547872204,1.4378862611760899,283.00496157919156,8.204714845296765,0.006518888746883847,4.305565845997494,100134.63823755161,318.8926736642071,118.77137424223864
2252,1.6591442755072028,1.4208552847565445,282.81732207387813,7.19785142088264,0.006325968412659521,4.684521340317416,101376.77995572882,320.7988338553993,111.58474732154625
2257,2.4415378886718546,1.5035004065369435,283.0135333834517,6.021393111541139,0.006572447614817393,4.933930661213978,99985.02677224,317.93595982087334,125.3077093361641
2260,2.2942317498910834,1.4695289988196147,283.05270215462434,7.947018428650982,0.006568782577404984,4.345982035829505,100049.9244391851,319.3240431551348,123.54051102188036
2261,1.673724997577198,1.4206251545547948,283.0725442860458,7.887920561650193,0.006426981322571812,3.944007607643835,101104.1311638127,320.9548465515801,114.13536448252819
2273,2.019908115813905,1.429205345846699,283.727694407165,6.021393111541139,0.006802914110701192,4.159584594153789,101438.49759385585,320.9936410687271,119.7014648427305
2278,1.9599238932515166,1.4197035093757533,282.2861615550605,7.1096431484662865,0.0061958337083298535,4.637776304164462,99780.23211146692,318.3472552331895,113.41496018942874
2284,2.5830711404327116,1.3750392465586974,282.7576758527078,8.220511404051232,0.006468262160601421,4.260406007906167,99556.68201429301,317.463906431853,115.09850416464802
2288,1.7905517641923494,1.3822348857702083,282.7262464866119,6.690779161255743,0.006348136121458071,4.142979922403591,101036.55893957955,319.8090916126038,113.6060788790663
2289,2.5225903728881662,1.4662125024162096,283.0212843069284,5.977641656759015,0.006606802688876513,4.989998172963942,100013.61937955358,317.76391977214723,122.13116705810015
2291,1.7592417265139557,1.4604801948794568,283.0791799220381,7.6737342888579505,0.006516092947621699,4.485237762880876,100337.93369854752,320.7089222919857,117.64201806684767
2294,1.9260708120772128,1.409331252768412,282.7504583136108,7.456531632785745,0.006395447615750152,4.710811082420066,100208.42823147246,321.2091153835445,112.60425652661377
2298,2.6478444471311136,1.4816733488210696,282.7418142308228,5.977641656759015,0.006509272097767878,4.951648283915727,99432.86820042695,316.5109414334772,124.63688694990485
2300,1.9212910105208107,1.362135929048036,282.9689697535849,6.868870948350272,0.006431902347709871,3.9220785755063345,100900.74355914429,322.46143792519376,111.17597570012529
2315,2.3274444264563385,1.4532283675281654,283.4471621485916,5.977641656759015,0.006727619419578635,4.196755574344982,100859.55793790893,319.7110793503179,123.15938430927189
2326,2.3532692927461722,1.3837529417829881,282.9792453649821,6.38185531147153,0.006684203016617941,4.901308678147942,99829.48854239176,318.13433548099675,117.98394443644716
2327,2.2841616761758874,1.4298865465377024,283.53611411295185,7.947018428650982,0.006700687612065525,3.565293116240057,101045.92482964406,321.5102711174532,121.9424681282194
2330,1.4912339324203907,1.42380380256434,283.29286243166734,7.94099030807462,0.0065152622086175685,3.8929493558179034,101099.15197893174,320.65174063111976,114.52294766794282
2331,2.019425495385812,1.327166299647426,282.4447994231751,8.0203350607592,0.006317658110691911,4.433063890913732,99160.26314608566,317.14050066174764,106.94653621151794
2333,1.767775765154523,1.4355546812106157,282.58984654740357,7.19785142088264,0.0062550610360805605,4.6265710355854095,100901.48173205252,319.9313608640772,114.11887778565132
2339,2.2792472968159934,1.3692460654026224,282.7817493758411,7.947018428650982,0.00646228769920646,3.674481772312404,99646.03693466054,318.77779740219967,117.13234083732424
